val_0_xcoord,val_0_ycoord,val_1_xcoord,val_1_ycoord,val_2_xcoord,val_2_ycoord,val_3_xcoord,val_3_ycoord,val_4_xcoord,val_4_ycoord,val_5_xcoord,val_5_ycoord,val_6_xcoord,val_6_ycoord,val_7_xcoord,val_7_ycoord,val_8_xcoord,val_8_ycoord,val_9_xcoord,val_9_ycoord,val_10_xcoord,val_10_ycoord,val_11_xcoord,val_11_ycoord,val_12_xcoord,val_12_ycoord,val_13_xcoord,val_13_ycoord,val_14_xcoord,val_14_ycoord,val_15_xcoord,val_15_ycoord,val_16_xcoord,val_16_ycoord,val_17_xcoord,val_17_ycoord,val_18_xcoord,val_18_ycoord,val_19_xcoord,val_19_ycoord,val_20_xcoord,val_20_ycoord,val_21_xcoord,val_21_ycoord,val_22_xcoord,val_22_ycoord,val_23_xcoord,val_23_ycoord
,,,,-33.083,-1.582,,,10.378,-1.66,9.581,2.559,,,,,,,,,,,,,-30.233,52.967,,,,,,,,,,,,,,,,,,,,,,
,,,,-60.99,-31.756,,,10.371,-1.679,9.576,2.567,,,,,,,,,,,,,-30.214,52.961,,,,,,,,,,,,,,,,,,,,,,
,,,,-61.006,-31.768,,,10.36,-1.695,9.575,2.57,,,,,,,,,,,,,-30.197,52.952,,,,,,,,,,,,,,,,,,,,,,
,,,,-61.024,-31.776,,,10.346,-1.709,9.563,2.588,,,,,,,,,,,,,-4.626,32.185,,,,,,,,,,,,,,,,,,,,,,
,,,,-61.043,-31.781,,,10.33,-1.72,9.438,2.713,,,,,,,,,,,,,1.775,13.04,,,,,,,,,,,,,,,,,,,,,,
,,,,-61.063,-31.781,,,10.312,-1.728,9.289,2.812,,,,,,,,,,,,,1.789,13.033,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10.293,-1.732,9.126,2.879,,,,,,,,,,,,,1.804,13.02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10.273,-1.732,8.952,2.914,,,,,,,,,,,,,1.816,13.005,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.774,2.914,,,,,,,,,,,,,1.826,12.988,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.6,2.879,,,,,,,,,,,,,1.832,12.969,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.437,2.811,,,,,,,,,,,,,2.562,5.711,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.289,2.713,,,,,,,,,,,,,2.561,5.692,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.164,2.588,,,,,,,,,,,,,2.56,5.69,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.065,2.44,,,,,,,,,,,,,2.56,5.687,,,,,,,,,,,,,,,,,,,,,,
